pl_name,hostname,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,discoverymethod,disc_year,disc_facility
GJ 676 A b,GJ 676 A,1.735,0.319,1840.86213,12.8,Radial Velocity,2010,La Silla Observatory
GJ 676 A c,GJ 676 A,9.726,0.295,4288.14087,12.3,Radial Velocity,2016,Paranal Observatory
GJ 676 A d,GJ 676 A,0.039,0.192,3.81394,1.78,Radial Velocity,2012,La Silla Observatory
GJ 676 A e,GJ 676 A,0.181,0.152,6.6744,2.47,Radial Velocity,2012,La Silla Observatory
GJ 680 b,GJ 680,10.138,0.381,7977.49302,12.0,Radial Velocity,2022,Multiple Observatories
GJ 682 b,GJ 682,0.08,0.08,4.4,1.93,Radial Velocity,2014,Multiple Observatories
GJ 682 c,GJ 682,0.176,0.1,8.7,2.89,Radial Velocity,2014,Multiple Observatories
GJ 685 b,GJ 685,0.1344,0.0,9.0,2.95,Radial Velocity,2019,Roque de los Muchachos Observatory
GJ 687 b,GJ 687,0.163,0.17,17.2,4.32,Radial Velocity,2014,Lick Observatory
GJ 687 c,GJ 687,1.165,0.4,16.0,4.14,Radial Velocity,2020,Multiple Observatories
GJ 720 A b,GJ 720 A,0.119,0.12,13.64,3.77,Radial Velocity,2021,Roque de los Muchachos Observatory
GJ 740 b,GJ 740,0.029,0.24,2.96,1.53,Radial Velocity,2021,Multiple Observatories
GJ 832 b,GJ 832,3.56,0.08,254.26273,13.9,Radial Velocity,2008,Anglo-Australian Telescope
GJ 849 b,GJ 849,2.32,0.029,283.82077,13.9,Radial Velocity,2006,W. M. Keck Observatory
GJ 849 c,GJ 849,4.95,0.092,0.99,1.01,Radial Velocity,2014,W. M. Keck Observatory
GJ 86 b,GJ 86,0.11,0.04,1404.8086,12.9,Radial Velocity,1999,La Silla Observatory
GJ 876 b,GJ 876,0.208317,0.0324,723.2235,13.3,Radial Velocity,1998,Multiple Observatories
GJ 876 c,GJ 876,0.12959,0.25591,226.9846,14.0,Radial Velocity,2000,Multiple Observatories
GJ 876 d,GJ 876,0.020807,0.207,6.83,2.51,Radial Velocity,2005,W. M. Keck Observatory
GJ 876 e,GJ 876,0.3343,0.055,14.6,3.92,Radial Velocity,2010,W. M. Keck Observatory
GJ 887 b,GJ 887,0.068,0.0,4.2,1.88,Radial Velocity,2020,La Silla Observatory
GJ 896 A b,GJ 896 A,0.63965,0.35,718.2922,13.3,Astrometry,2022,Very Long Baseline Array
GJ 9066 c,GJ 9066,0.88,0.46,66.74397,9.6,Radial Velocity,2020,Multiple Observatories
GJ 96 b,GJ 96,0.291,0.44,19.66,4.67,Radial Velocity,2018,Haute-Provence Observatory
GJ 9689 b,GJ 9689,0.1139,0.29,9.65,3.07,Radial Velocity,2020,Roque de los Muchachos Observatory
GJ 9714 b,GJ 9714,12.319,0.155,2988.54051,12.5,Radial Velocity,2022,Multiple Observatories
GJ 9827 b,GJ 9827,0.0188,0.063,5.14,1.577,Transit,2017,K2
GJ 9827 c,GJ 9827,0.03925,0.094,1.3,1.241,Transit,2017,K2
GJ 9827 d,GJ 9827,0.0559,0.13,3.53,2.022,Transit,2017,K2
GPX-1 b,GPX-1,0.0338,0.0,6261.21962,16.477,Transit,2021,Acton Sky Portal Observatory
Gl 378 b,Gl 378,0.039435,0.109,13.02,3.66,Radial Velocity,2019,Haute-Provence Observatory
Gl 49 b,Gl 49,0.0905,0.363,5.63,2.24,Radial Velocity,2019,Multiple Observatories
Gl 686 b,Gl 686,0.091,0.05,6.624,2.46,Radial Velocity,2018,Roque de los Muchachos Observatory
HAT-P-1 b,HAT-P-1,0.05561,0.0,166.86075,14.785,Transit,2006,HATNet
HAT-P-11 b,HAT-P-11,0.05254,0.218,26.69772,4.36,Transit,2008,HATNet
HAT-P-11 c,HAT-P-11,4.13,0.601,731.009,13.3,Radial Velocity,2018,W. M. Keck Observatory
HAT-P-12 b,HAT-P-12,0.0384,0.0,67.059,10.749,Transit,2009,HATNet
HAT-P-13 b,HAT-P-13,0.04383,0.0133,270.462,14.258,Transit,2009,HATNet
HAT-P-13 c,HAT-P-13,1.258,0.6616,4538.421,12.3,Radial Velocity,2009,W. M. Keck Observatory
HAT-P-14 b,HAT-P-14,0.0596,0.11,1093.3352,15.917,Transit,2010,HATNet
HAT-P-15 b,HAT-P-15,0.0965,0.19,616.5902,11.882,Transit,2010,HATNet
HAT-P-16 b,HAT-P-16,0.0413,0.036,1332.605,14.448,Transit,2010,HATNet
HAT-P-17 b,HAT-P-17,0.0882,0.35,184.3414,11.769,Transit,2010,HATNet
HAT-P-17 c,HAT-P-17,5.6,0.39,1080.6,13.1,Radial Velocity,2010,W. M. Keck Observatory
HAT-P-18 b,HAT-P-18,0.0559,0.084,62.61,11.153,Transit,2010,HATNet
HAT-P-19 b,HAT-P-19,0.0466,0.067,92.802,12.689,Transit,2010,HATNet
HAT-P-2 b,HAT-P-2,0.06814,0.5172,2765.121,12.663,Transit,2007,HATNet
HAT-P-20 b,HAT-P-20,0.0361,0.015,2302.899,9.718,Transit,2010,HATNet
HAT-P-21 b,HAT-P-21,0.0494,0.23,1547.8321,12.442,Transit,2010,HATNet
HAT-P-22 b,HAT-P-22,0.0414,0.02,785.0401,12.89,Transit,2010,HATNet
HAT-P-23 b,HAT-P-23,0.0232,0.106,664.237,15.334,Transit,2010,HATNet
HAT-P-24 b,HAT-P-24,0.04651,0.07,238.3725,14.572,Transit,2010,HATNet
HAT-P-25 b,HAT-P-25,0.0466,0.023,180.84527,12.722,Transit,2010,HATNet
HAT-P-26 b,HAT-P-26,0.0479,0.12,22.2481,7.062,Transit,2010,HATNet
HAT-P-27 b,HAT-P-27,0.04,0.0,197.05,11.43,Transit,2011,HATNet
